ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Joggers Track Pant,8149936341208,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Shaped Puffer Jacket With Fur Insert At Hood,8140531499224,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Solid Regular Fit Sweatshirt,8136357642456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Tropical Printed Viscose Coords,8140515311832,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Streetwear Skinny Fit Jeans,8149946958040,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Henley T-Shirt,8174309212376,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Dress,8149768569048,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed Kurta,8149855076568,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta,8149899968728,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Hooded Sweatshirt,8134392676568,0,0,,0,0,,,1,0,0,,,,0,0,,,3,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Mens Printed Regular Fit Sweatshirt,8134468829400,0,0,,0,0,,,1,0,0,,,,0,0,,,6,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Skinny Jeans,8134366068952,0,0,,0,0,,,12,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,32,,,0,,,,,0,,0,
Men Checkered Shirt,8134359679192,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Women Distressed Slim-Fit Jeans,8149947646168,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Vertical Striped Shirt,8149857239256,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Pink Flared Quirky Printed Wide Leg High-Rise Pants,8007562723544,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Knit Tracksuit,8039696892120,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8149850751192,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Solid Slim Fit Stretchable Jeans,7634144329944,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Overhead Sweatshirt,8133642715352,0,0,,0,0,,,2,0,0,,,,0,0,,,75,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Men Solid Sweatshirt,8174307967192,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8164053123288,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Jacket,8164051353816,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Olive T-Shirt,7639406805208,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Green Cotton Checkered Long Sleeves Shirt,7597929857240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Tropical Print Blue Casual Shirt,7638223257816,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Print T-Shirt,8046581514456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Blue Solid Slim Fit Long Sleeves Shirt,7808906592472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8046851227864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Checked Shirt,8046576664792,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Solid Slim Fit Long Sleeves Shirt,7873313472728,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Cotton Solid Long Sleeves Kurta,7873022918872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Dark Blue Solid Slim Fit Long Sleeves Shirt,7842727067864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Navy Blue Cotton Abstract Long Sleeves Kurta,7639415095512,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Rust Solid Slim Fit Long Sleeves Shirt,7638239969496,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fitted WRAP DRESS,8044910543064,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Stretchable High-Rise Bootcut Mid Wash Jeans,8011160748248,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fit And Flare Long Dress,8149776302296,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Khaki Solid Slim Fit Shorts,7809062535384,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Length Kurta,8149884502232,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
JCK Napa Lace-Ups Olive Casual Shoes,7974591267032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Dress,8401331224792,0,0,,0,0,,,1,0,0,,,,0,0,,,66,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Women Solid Top,8378313474264,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Print Shirt,8046859616472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Polo T-Shirt,8149867036888,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8037360009432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Red Checkered Slim Fit Long Sleeves Shirt,7977066201304,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Plus Size Sophisticated Chinos,8048402596056,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Distressed Slim-Fit Jeans,8044987449560,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Ethnic Jacket,8149761982680,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8134398902488,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Men Jogger Jeans,8211685867736,0,0,,0,0,,,7,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,19,,,0,,,,,0,,0,
Men Checked Shirt,8153515753688,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8153515163864,0,0,,0,0,,,23,1,0,4.35,,,0,0,,,0,0,,,0,0,,,,,,,,,,,57,,,0,,,,,0,,0,
Men Slim Fit Luxe Formal Shirt,8211680329944,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Bishop Lace Sleeve Fitted Top,8149732163800,0,0,,0,0,,,1,0,0,,,,0,0,,,14,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Mens Colourblocked Regular Fit Sweatshirt,8136361476312,0,0,,0,0,,,1,0,0,,,,0,0,,,217,1,0.46,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Women Solid Dress,8255133057240,0,0,,0,0,,,2,0,0,,,,0,0,,,3,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Men Solid Trouser,8153514442968,0,0,,0,0,,,8,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,21,,,0,,,,,0,,0,
Men's Cotton Green Striped Slim Fit Short Sleeves Shirt,7638226043096,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Printed T-Shirt,8046580105432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta,8168301625560,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Blazer,8177784455384,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Denim Jeans,8046564671704,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Peach Cotton Ethnic Motifs WaistCoat,7634141970648,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Striped Casual Shirt,8174302953688,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Striped Casual Shirt,8174303150296,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Red Regular Fit Solid Long Puffer Hooded Jacket,7831899111640,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polyester Blue Abstract Slim Fit Long Sleeves SweatShirt,7936671940824,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Regular Fit Yellow Cotton Solid Paperbag Trousers,7831901602008,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Blue Bleach Slim Fit Stretchable Jeans,7769190629592,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Stretchable Mid-Rise Two Tone Denim Shorts,7710105993432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Brown Cotton Solid Long Sleeves Shirt,7639399530712,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Light Blue Stretchable Distressed Straight Fit Mid-Rise Jeans,7831888527576,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women A-Line BLAZER DRESS WITH WAIST BELT,8044910706904,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Chino,8149862777048,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Checked Blue Casual Shirt,8009496494296,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sweatshirt,8149813428440,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Long Length Kurta,8168304017624,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Plus Size Panelled Suede Jacket,8149759951064,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Knitted Trouser,8133644648664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
GDS Suede Slip-On Royal Blue Casual Shoes,7974594576600,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Sweatshirt,8149790621912,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Print Shirt,8046583742680,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
TIGC_Product Title,8046851358936,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Solid Slim Fit Shorts,7669825536216,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Clean Look Skinny Jeans,8038637961432,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checked Shirt,8046759674072,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Black Solid Slim Fit Shorts,7634140397784,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton White Checkered Slim Fit Long Sleeves Shirt,7927661920472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Check Shirt,8167337951448,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Chino Shorts,8149841477848,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Solid Korean Loose Fit Shirt,8337611260120,0,0,,0,0,,,157,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,470,,,0,,,,,0,,0,
Men's Grey Regular Fit Self Design Plus Size Chino Jogger,8501110243544,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Tigc_Product Title,8149962916056,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Black Solid Mid-Rise Slim Fit Denim Jogger,8029974135000,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Kurta,8134386385112,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Polycotton Solid Jogger,7637632549080,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket (New),8170273571032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed Top,8192617513176,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Sherwani,8177785241816,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Short Shorts,8149785379032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Kurta Pajama,8149886566616,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Navy Blue N/A Slim Fit Long Sleeves Shirt,7732701331672,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Denim Jeans,8149825224920,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Check Shirt,8149844328664,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Blue Cotton Solid Long Sleeves Kurta,7871430066392,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Joggers Track Pant,8149936341208,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Shaped Puffer Jacket With Fur Insert At Hood,8140531499224,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Solid Regular Fit Sweatshirt,8136357642456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Streetwear Skinny Fit Jeans,8149946958040,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Henley T-Shirt,8174309212376,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Dress,8149768569048,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fitted Full Sleeve Rib Top,8150964961496,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Lounge Pant,8174304362712,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Hooded Sweatshirt,8134392676568,0,0,,0,0,,,1,0,0,,,,0,0,,,3,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Mens Printed Regular Fit Sweatshirt,8134468829400,0,0,,0,0,,,1,0,0,,,,0,0,,,6,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Blue Sports Shoes,7614059905240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8149755592920,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Reversible Jacket,8046594490584,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Tigc_Product Title,8149809791192,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Checkered Shirt,8134359679192,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
Women Distressed Slim-Fit Jeans,8149947646168,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Crew Neck T-Shirt,8046589968600,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Striped Shirt,8134362300632,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Pink Flared Quirky Printed Wide Leg High-Rise Pants,8007562723544,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women ABSTRACT PRINTED FLARE MAXI DRESS,8044919718104,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8164053123288,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Olive T-Shirt,7639406805208,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Green Cotton Checkered Long Sleeves Shirt,7597929857240,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Tropical Print Blue Casual Shirt,7638223257816,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Print T-Shirt,8046581514456,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polycotton Blue Solid Slim Fit Long Sleeves Shirt,7808906592472,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Bomber Jacket,8046851227864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Polyester Green Colourblocked Slim Fit Long Sleeves Jackets,7669825962200,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Blue Solid Slim Fit Long Sleeves Shirt,7873313472728,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Grey Cotton Solid Long Sleeves Kurta,7873022918872,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Dark Blue Solid Slim Fit Long Sleeves Shirt,7842727067864,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Slim Fit Navy Blue Cotton Abstract Long Sleeves Kurta,7639415095512,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men's Cotton Rust Solid Slim Fit Long Sleeves Shirt,7638239969496,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fitted WRAP DRESS,8044910543064,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women's Blue Stretchable High-Rise Bootcut Mid Wash Jeans,8011160748248,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Fit And Flare Long Dress,8149776302296,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Long Length Kurta,8149884502232,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
JCK Napa Lace-Ups Olive Casual Shoes,7974591267032,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Solid Dress,8401331224792,0,0,,0,0,,,1,0,0,,,,0,0,,,66,0,,,0,0,,,,,,,,,,,2,,,0,,,,,0,,0,
Women Solid Top,8378313474264,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Printed V Neck Flare Dress,8044918407384,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Puffer Jacket,8037670879448,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Casual Sweatshirt,8039696466136,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Women Distressed Slim-Fit Jeans,8044925124824,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Mens Typographic Printed Regular Fit Sweatshirt,8149817524440,0,0,,0,0,,,1,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,3,,,0,,,,,0,,0,
Men Block Shirt,8134378160344,0,0,,0,0,,,0,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,,,0,,,,,0,0,0,0
Men Winter Jacket,8140525306072,0,0,,0,0,,,2,0,0,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5,,,0,,,,,0,,0,
